																Class	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
																Type	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample
																Injection order	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
Alignment ID	Average Rt(min)	Average Mz	Metabolite name	Adduct ion name	Fill %	MS/MS included	INCHIKEY	SMILES	LINK	Isotope parent ID	Isotope weight number	Dot product	Reverse dot product	Fragment presence %	Spectrum reference file name	MS/MS spectrum	M	M	M	M	M	N	N	N	N	N	S 	S 	S 	S 	S 
24	11.43	255.233	FA (16:0) [M-H]- (palmitic acid)_IPCSVZSSVZVIGE-UHFFFAOYSA-N	[M-H]-	0.8	FALSE	No record	No record	No record	-1	-1	-1	-1	-1	BAL_Mild_7693_006		18228.15	17947.36	16313.89	17716.81	15787.91	17036.94	2977	17838.57	16275.41	16703.12	16699.11	16748.46	16580.89	4132	5818
25	5.32	255.2328	FA (16:0) [M-H]- (palmitic acid)_IPCSVZSSVZVIGE-UHFFFAOYSA-N	[M-H]-	0.8666667	FALSE	No record	No record	No record	-1	-1	-1	-1	-1	BAL_Normal_7376_011		5476	7315.16	6425.971	7298.81	6516.927	7503.925	7211.26	7498.769	3127	7336.145	7473.415	7337.399	6747.075	7129.507	7979.44
26	2.43	255.2347	FA (16:0) [M-H]- (palmitic acid)_IPCSVZSSVZVIGE-UHFFFAOYSA-N	[M-H]-	1	FALSE	No record	No record	No record	-1	-1	-1	-1	-1	BAL_Mild_7223_007		693128.1	734271.2	741475.4	705860.8	732536.3	708999.4	579003.4	643051.1	663751.3	643631.6	669973.4	1110429	810137.7	652493	829961.1
27	2.36	255.2341	FA (16:0) [M-H]- (palmitic acid)_IPCSVZSSVZVIGE-UHFFFAOYSA-N	[M-H]-	0.6	FALSE	No record	No record	No record	-1	-1	-1	-1	-1	BAL_Severe_7747_007		561747.3	560777	596067.9	567838.5	585951.1	572674.6	474756	446824	495943	468507	480079	826171.8	657453.8	523437.3	674290.9
18	1.76	253.2173	FA (16:1) [M-H]- (palmitoleic acid)_SECPZKHBENQXJG-FPLPWBNLSA-N	[M-H]-	0.9333333	FALSE	No record	No record	No record	-1	-1	-1	-1	-1	BAL_Mild_7223_007		6237.616	5509.37	3768.728	8433.055	5060.002	4759.121	5587.954	9716.772	8864.048	6006.659	5574.463	7322.063	2224	4360.12	5229.338
77	3.04	269.2492	FA (17:0) [M-H]- (margaric acid)_KEMQGTRYUADPNZ-UHFFFAOYSA-N	[M-H]-	1	FALSE	No record	No record	No record	-1	-1	-1	-1	-1	BAL_Mild_5148_009		104971.9	81744.22	77678.25	110667.4	93014.1	71881.09	77438.66	92963.66	70369.58	87475.3	86591.62	95520.53	90739.66	109396.8	96903.82
78	2.76	269.2487	FA (17:0) [M-H]- (margaric acid)_KEMQGTRYUADPNZ-UHFFFAOYSA-N	[M-H]-	1	FALSE	No record	No record	No record	-1	-1	-1	-1	-1	BAL_Mild_7223_007		27733.6	24275.84	20006.53	22845.81	21630.24	22006.59	19146.75	21554.81	20890.38	27340.17	22782.26	26908.55	23094.66	20627.1	21774.26
79	2.89	269.2491	FA (17:0) [M-H]- (margaric acid)_KEMQGTRYUADPNZ-UHFFFAOYSA-N	[M-H]-	1	FALSE	No record	No record	No record	-1	-1	-1	-1	-1	BAL_Severe_7747_007		71120.67	64157.6	50950.91	62095.58	54050	58799.43	44739.92	54716.99	60131.7	71315.07	62352.6	72742.36	67180.59	49600.66	56491.89
88	5.32	283.2642	FA (18:0) [M-H]- (stearic acid)_QIQXTHQIDYTFRH-UHFFFAOYSA-N	[M-H]-	1	FALSE	No record	No record	No record	-1	-1	-1	-1	-1	BAL_Normal 7295_012		10072.12	9383.332	7955.86	9684.699	9257.591	8940.703	9368.082	9431.023	8320.675	9424.557	9325.758	9457.213	9195.135	9431.334	9982.749
89	3.62	283.2646	FA (18:0) [M-H]- (stearic acid)_QIQXTHQIDYTFRH-UHFFFAOYSA-N	[M-H]-	1	FALSE	No record	No record	No record	-1	-1	-1	-1	-1	BAL_Normal_7042_014		23653.21	18227.63	16357.68	19518.09	16852.76	17783.96	17565.77	18138.35	16681.64	18054.62	17518.33	18396.42	17679.27	17108.86	18053.38
90	11.09	283.2649	FA (18:0) [M-H]- (stearic acid)_QIQXTHQIDYTFRH-UHFFFAOYSA-N	[M-H]-	1	FALSE	No record	No record	No record	-1	-1	-1	-1	-1	BAL_Mild_5148_009		21183.05	19707.13	18691.27	19656.34	17950.04	18521.3	18766.57	18468.44	17379.52	19060.91	19118.89	18268.46	18321.83	19288.95	19756.85
91	4.28	283.2645	FA (18:0) [M-H]- (stearic acid)_QIQXTHQIDYTFRH-UHFFFAOYSA-N	[M-H]-	0.8666667	FALSE	No record	No record	No record	-1	-1	-1	-1	-1	BAL_Severe_6339_003		9017.995	8891.336	7720.871	1531	8058.567	7943.423	8564.681	1789	7450.062	7747.897	8255.422	8855.434	9032.526	8985.948	9039.493
92	11.44	283.2644	FA (18:0) [M-H]- (stearic acid)_QIQXTHQIDYTFRH-UHFFFAOYSA-N	[M-H]-	1	FALSE	No record	No record	No record	-1	-1	-1	-1	-1	BAL_Severe_6247_004		26233.1	24708.1	23619.77	25158.87	22894.5	25496.63	24356.38	24813.43	23586.63	24374.9	23443.06	24531.95	24149.04	24419.57	25020.21
93	11.71	283.2647	FA (18:0) [M-H]- (stearic acid)_QIQXTHQIDYTFRH-UHFFFAOYSA-N	[M-H]-	1	FALSE	No record	No record	No record	-1	-1	-1	-1	-1	BAL_Normal_6880_015		26645.41	25711.33	26344.04	29106.96	24081.25	27228.34	25339.22	27095.42	25929.5	25525.59	25618.88	26027.33	26362.23	27420.48	28819.97
94	7.64	283.2648	FA (18:0) [M-H]- (stearic acid)_QIQXTHQIDYTFRH-UHFFFAOYSA-N	[M-H]-	0.9333333	FALSE	No record	No record	No record	-1	-1	-1	-1	-1	BAL_Severe_6247_004		9687.678	8500.797	7950.155	8918.257	7717.422	8258.987	8437.76	8578.438	7869.745	2534	8494.452	8205.553	7996.737	8293.366	8679.353
95	5.56	283.264	FA (18:0) [M-H]- (stearic acid)_QIQXTHQIDYTFRH-UHFFFAOYSA-N	[M-H]-	0.3333333	FALSE	No record	No record	No record	-1	-1	-1	-1	-1	BAL_Severe_6247_004		10476.92	3043	9950.415	2597	2751	2626	3176	2141	2022	2319	2499	6723.407	10023.7	3294	8030.941
96	10.52	283.2645	FA (18:0) [M-H]- (stearic acid)_QIQXTHQIDYTFRH-UHFFFAOYSA-N	[M-H]-	0.4	FALSE	No record	No record	No record	-1	-1	-1	-1	-1	BAL_Normal_7376_011		3413	2690	4043	3167	19493.56	2373	3834	21146.6	4138	13600.61	17628.15	2226	2211	17737.55	20806.51
97	12.35	283.2648	FA (18:0) [M-H]- (stearic acid)_QIQXTHQIDYTFRH-UHFFFAOYSA-N	[M-H]-	0.4666667	FALSE	No record	No record	No record	-1	-1	-1	-1	-1	BAL_Severe_7277_002		4556	72073.7	4336	7370	68096.13	73942.85	3930	72744.93	68769.12	6739	4938	7270	72196.56	70775.74	7097
98	10.96	283.2646	FA (18:0) [M-H]- (stearic acid)_QIQXTHQIDYTFRH-UHFFFAOYSA-N	[M-H]-	0.3333333	FALSE	No record	No record	No record	-1	-1	-1	-1	-1	BAL_Severe_7277_002		7787	1186	1356	3584	20356.09	1120	2062	23625.08	16244.61	2403	5785	1681	1926	17284.84	21728.58
99	3.2	283.2674	FA (18:0) [M-H]- (stearic acid)_QIQXTHQIDYTFRH-UHFFFAOYSA-N	[M-H]-	1	FALSE	No record	No record	No record	-1	-1	-1	-1	-1	BAL_Severe_7747_007		5247568	5228206	5029645	4924541	5083989	4960191	4489909	4595470	4670420	4932476	4839171	5903949	5448848	4814496	5299418
86	2.64	281.2493	FA (18:1) [M-H]- (oleic acid)_ZQPPMHVWECSIRJ-KTKRTIGZSA-N	[M-H]-	1	FALSE	No record	No record	No record	-1	-1	-1	-1	-1	BAL_Severe_7747_007		55096.07	77242.39	44511.19	95344.02	71437.14	77644.95	58199.75	265434.4	123850.9	84058.41	93321.52	85718.18	51046.65	70355.18	100105.7
87	3.16	281.2491	FA (18:1) [M-H]- (oleic acid)_ZQPPMHVWECSIRJ-KTKRTIGZSA-N	[M-H]-	1	FALSE	No record	No record	No record	-1	-1	-1	-1	-1	BAL_Mild_5148_009		121181.2	69034.56	50185.62	85243.06	67677.73	57962.4	70060.44	89074.33	56369.66	76214.55	69322.12	66571.84	68601.45	74107.01	58918.25
85	2	279.2333	FA (18:2) [M-H]- (linoleic acid)_JBYXPOFIGCOSSB-XBLVEGMJSA-N	[M-H]-	0.9333333	FALSE	No record	No record	No record	-1	-1	-1	-1	-1	BAL_Mild_7223_007		6842.009	12391.68	1799	22965.71	19699.06	12272.19	12793.64	89253.94	24938.04	21021.02	30646.95	18098.04	4660.806	16372.32	31108.71
122	3.45	311.2954	FA (20:0) [M-H]- (arachidic acid)_VKOBVWXKNCXXDE-UHFFFAOYSA-N	[M-H]-	1	FALSE	No record	No record	No record	-1	-1	-1	-1	-1	BAL_Severe_7747_007		8312.616	7302.315	5378.678	7560.047	6461.557	5946.445	6706.207	7525.726	6956.771	8538.021	7520.803	7045.854	6107.327	7628.592	7305.675
123	3.78	311.2964	FA (20:0) [M-H]- (arachidic acid)_VKOBVWXKNCXXDE-UHFFFAOYSA-N	[M-H]-	1	FALSE	No record	No record	No record	-1	-1	-1	-1	-1	BAL_Normal_6880_015		162070.3	168024.5	141324.9	148441.1	180225.7	148500	110469.2	113341.3	131331.5	157288.8	141681.9	218964.4	180755.4	127809.9	168088.6
149	4.43	339.3273	FA (22:0) [M-H]- (behenic acid)_UKMSUNONTOPOIO-UHFFFAOYSA-N	[M-H]-	1	FALSE	No record	No record	No record	-1	-1	-1	-1	-1	BAL_Severe_7747_007		20794.29	25774.51	19359.91	36103.13	40179.3	23094.39	18802.01	24492.53	22078.42	26413.14	22866.21	30156.38	22414.66	19207.49	22709.09
143	3.83	337.3115	FA (22:1) [M-H]- (erucic acid)_DPUOLQHDNGRHBS-KTKRTIGZSA-N	[M-H]-	1	FALSE	No record	No record	No record	-1	-1	-1	-1	-1	BAL_Severe_6247_004		9279.737	11291.86	5799.604	8221.823	6684.75	8139.43	10347.93	8606.083	12244.06	12513.24	11420.77	6168.088	7953.216	7364.202	14959.98
185	5.15	367.3583	FA (24:0) [M-H]- (lignoceric acid)_QZZGJDVWLFXDLK-UHFFFAOYSA-N	[M-H]-	1	FALSE	No record	No record	No record	-1	-1	-1	-1	-1	BAL_Severe_7747_007		28371.48	31706.84	34008.52	38950.05	26463.36	25799.76	26390.96	23973.34	33408.97	31469.72	28799.49	35997.44	36293.92	27535.46	33115.66
238	5.93	395.3897	FA (26:0) [M-H]- (cerotic acid)_XMHIUKTWLZUKEX-UHFFFAOYSA-N	[M-H]-	1	FALSE	No record	No record	No record	-1	-1	-1	-1	-1	BAL_Severe_7747_007		8265.048	5715.776	5481.711	10566.03	4666.12	4596.761	5026.093	5787.585	8503.38	6825.649	5626.984	5331.917	5962.738	4599.596	5014.021
564	4.86	750.5295	GlcCer(d14:1(4E)/20:0(2OH)) [M+Cl]-_YYILQTLJZBSOCA-IMJQGFQJSA-N	[M+FA-H]-	0.7333333	FALSE	No record	No record	No record	-1	-1	-1	-1	-1	BAL_Mild_7693_006		943	7316.749	351	9101.956	6743.237	6302.381	5509.551	9584.602	7446.782	8824.037	7608.423	3510.289	809	4502.422	2419
425	6	586.5002	iSTD iSTD Ceramide (d18:1/17:0) [M+Cl]- _ICWGMOFDULMCFL-QKSCFGQVSA-N	[M+Cl]-	1	FALSE	No record	No record	No record	-1	-1	-1	-1	-1	BAL_Severe_7747_007		449317.1	449915.1	382502.3	456960.9	389056.5	410660.1	427860.4	459497.8	404254	501854.8	445387.7	393967.8	399879.9	423756.9	396286.3
452	6.35	610.5422	iSTD iSTD Ceramide (d18:1/17:0) [M+HAc-H]- _ICWGMOFDULMCFL-QKSCFGQVSA-N	[M-H]-	0.4	FALSE	No record	No record	No record	-1	-1	-1	-1	-1	BAL_Severe_7277_002		759	1635	1227	4545.088	4846.111	1769	1648	6123.688	2822	4980.429	5879.25	2538	1583	4819.031	1447
