row ID,row m/z,row retention time,row comment,row number of detected peaks,All identity elements,ID,Identification method,Molecular formula,Name,M,M,M,M,M,N,N,N,N,N,S,S,S,S,S
495,253.2172737,1.760887778,,14,,FA (16:1) [M-H]- (palmitoleic acid),Lipid Database_NEG Updated Method_1.0.csv,,,6215.891113,5869.521484,3880.515381,8539.279297,4926.162109,4957.488281,6083.455078,9977.824219,9175.444336,6475.77832,5554.67041,7140.972168,4037.362549,4382.135742,5360.039063
59,269.2488749,3.042174444,,15,,FA (17:0) [M-H]- (margaric acid),Lipid Database_NEG Updated Method_1.0.csv,,,107617.4609,84044.07031,80529.11719,116164.3516,96958.07813,73915.07031,78690.99219,95309.35938,73045.30469,91316.96875,91811.90625,98325.32031,93194.375,112265.7578,100237.2656
840,267.232813,2.149476667,,7,,FA (17:1) [M-H]- (heptadecenoic acid),Lipid Database_NEG Updated Method_1.0.csv,,,2339.677734,2168.819336,1757.481445,2864.251221,2198.531738,2117.918457,2050.975342,3035.736084,2076.162598,2604.94165,2433.955078,2118.574219,1881.536621,2040.627319,2216.100342
81,281.2490011,2.637006667,,15,,FA (18:1) [M-H]- (oleic acid),Lipid Database_NEG Updated Method_1.0.csv,,,54544.33203,78431.46875,44719.15625,98648.46094,72793.03125,79356.95313,59216.53125,271425.125,124396.0938,85765.86719,95176.73438,87819.77344,51349.51563,72184.25,102952.2578
562,279.2330688,2.000785556,,15,,FA (18:2) [M-H]- (linoleic acid),Lipid Database_NEG Updated Method_1.0.csv,,,6984.833984,12576.15918,2919.082031,22837,20501.83984,12483.67285,13239.47168,91408.39063,25641.27148,22174.39648,31004.83984,17956.89063,4765.521973,16957.2168,32203.4707
1547,277.2145984,1.521571429,,1,,FA (18:3) [M-H]- (linolenic acid),Lipid Database_NEG Updated Method_1.0.csv,,,835.1893921,1314.266724,0,1809.83606,1478.535767,1116.197632,1360.243896,5425.385742,1852.56604,1969.42334,2156.065674,1713.594482,512.0005493,1120.897827,2365.000977
36,311.2959625,3.775683333,,15,,FA (20:0) [M-H]- (arachidic acid),Lipid Database_NEG Updated Method_1.0.csv,,,167998.625,177243.9219,146961.25,152937.4219,188046.625,154334.9375,115020.7813,117275.8594,134683.4688,163497.4219,146558.7188,226889.9219,188004.3906,135371.25,174758.1875
837,309.280069,3.286497778,,12,,FA (20:1) [M-H]- (eicosenoic acid),Lipid Database_NEG Updated Method_1.0.csv,,,2367.179932,2648.026611,1888.62793,3791.900146,2776.664063,3531.145264,2043.760498,5680.027344,3144.4104,3976.8396,3340.371582,2567.483154,2042.875,3215.08667,3353.267578
1625,307.2640778,2.866166667,,1,,FA (20:2) [M-H]- (eicosadienoic acid),Lipid Database_NEG Updated Method_1.0.csv,,,0,0,462.0280457,704.4088745,649.920166,0,0,2832.164307,845.2344971,775.4158936,787.9506226,714.4537354,0,674.4005737,842.4000244
911,305.2593896,2.323045556,,4,,FA (20:3) [M-H]- (homo-gamma-linolenic acid),Lipid Database_NEG Updated Method_1.0.csv,,,3675.990723,7938.085938,7003.663574,7307.000977,7813.910156,7421.197754,6850.567383,9140.373047,6939.275391,7427.375,7915.561523,8455.913086,6776.526367,8044.776367,7493.501953
1243,303.232959,1.85145,,9,,FA (20:4) [M-H]- (arachidonic acid),Lipid Database_NEG Updated Method_1.0.csv,,,837.3766479,1848.065796,0,2695.077637,5053.207031,2299.938721,1670.94165,11473.20898,3114.531006,3832.260986,6040.340332,6379.149414,479.3461609,3493.401855,3063.161133
146,339.3270854,4.424058889,,15,,FA (22:0) [M-H]- (behenic acid),Lipid Database_NEG Updated Method_1.0.csv,,,21286.22266,25857.86328,19986.06836,37596.46484,41752.41016,23215.66016,19506.11914,25449.61133,22982.92969,27481.40039,23919.71094,31149.74023,23471.29688,19968.11328,24345.50586
375,337.3114237,3.825986667,,15,,FA (22:1) [M-H]- (erucic acid),Lipid Database_NEG Updated Method_1.0.csv,,,9663.837891,11545.02637,6010.376953,8462.519531,6734.797852,8468.629883,11196.11816,9370.818359,13191.27637,13316.03711,11774.85645,6198.916992,8638.918945,7508.470215,16273.2627
113,367.357902,5.150942222,,15,,FA (24:0) [M-H]- (lignoceric acid),Lipid Database_NEG Updated Method_1.0.csv,,,19621.60352,29379.56055,25867.70508,38392.73047,24060.21875,23613.65039,24318.17969,24091.86914,32459.30078,31069.97461,27270.98828,31896.73633,29193.83594,23226.41406,27793.39648
